COUNTRY,Country,VAR,Variable,CUR,Currency,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,1883,,
AUT,Austria,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,1871,,
BEL,Belgium,EXPORT_TOTAL,Total international receipts,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,8968,,
BEL,Belgium,EXPORT_TOTAL,Total international receipts,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,9394,,
BEL,Belgium,EXPORT_TOTAL,Total international receipts,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,10166,,
BEL,Belgium,EXPORT_TOTAL,Total international receipts,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,10451,,
BEL,Belgium,EXPORT_TOTAL,Total international receipts,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,11186,,
BEL,Belgium,EXPORT_TOTAL,Total international receipts,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,11031,,
BEL,Belgium,EXPORT_TOTAL,Total international receipts,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,11753,,
BEL,Belgium,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,8010,,
BEL,Belgium,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,8465,,
BEL,Belgium,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,9162,,
BEL,Belgium,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,9421,,
BEL,Belgium,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,10129,,
BEL,Belgium,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,10166,,
BEL,Belgium,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,10777,,
BEL,Belgium,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,958,,
BEL,Belgium,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,929,,
BEL,Belgium,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,1004,,
BEL,Belgium,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,1030,,
BEL,Belgium,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,1057,,
BEL,Belgium,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,865,,
BEL,Belgium,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,976,,
BEL,Belgium,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,14699,,
BEL,Belgium,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,14455,,
BEL,Belgium,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,15831,,
BEL,Belgium,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,16365,,
BEL,Belgium,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,17412,,
BEL,Belgium,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,18192,,
BEL,Belgium,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,19875,,
BEL,Belgium,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,13431,,
BEL,Belgium,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,13122,,
BEL,Belgium,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,14260,,
BEL,Belgium,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,14752,,
BEL,Belgium,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,15713,,
